Student_ID,Gender,Province,School_Type,Parent_Expectation,Stream,Khmer,English,Math,Physics,Chemistry,Biology,History,Geography,Morality,Earth,Interest_Tech,Interest_Business,Interest_Health,Interest_Design,Interest_Law,Career_Goal,WorkPreference,Personality,Recommend_Major
S000255,Male,Kandal,Private,Police Officer,Social-Science,C,D,D,,,,D,B,C,D,Very Strong Interest,Very Low Interest,Moderate Interest,Moderate Interest,Strong Interest,PublicSector,Team,Extrovert,Civil Engineering
S000125,Female,Svay Rieng,NGO,Engineer,Science,B,A,C,D,B,D,C,,,,Strong Interest,Moderate Interest,Moderate Interest,Moderate Interest,Strong Interest,PublicSector,Office,Introvert,Medicine
S001928,Female,Pursat,Public,Banker,Science,C,D,B,B,C,D,B,,,,Strong Interest,Low Interest,Low Interest,Very Strong Interest,Low Interest,PublicSector,Field,Ambivert,Computer Science
S000252,Female,Phnom Penh,Public,Lawyer,Science,F,C,C,C,C,C,E,,,,Low Interest,Moderate Interest,Moderate Interest,Very Strong Interest,Moderate Interest,Creative,Office,Introvert,Media and Communication
S000586,Male,Kandal,Public,Doctor,Social-Science,A,B,D,,,,A,D,D,B,Very Strong Interest,Very Low Interest,Low Interest,Very Strong Interest,Moderate Interest,Creative,Field,Ambivert,Entrepreneurship
S001569,Female,Stung Treng,Public,Banker,Social-Science,A,D,D,,,,C,C,B,C,Moderate Interest,Very Low Interest,Moderate Interest,Very Low Interest,Very Low Interest,Education,Office,Ambivert,English Literature
S000825,Male,Koh Kong,Private,Banker,Social-Science,A,B,B,,,,C,B,A,B,Low Interest,Very Strong Interest,Moderate Interest,Strong Interest,Moderate Interest,Creative,Team,Extrovert,Finance and Banking
S000508,Male,Mondulkiri,Public,Accountant,Science,C,D,C,A,C,C,C,,,,Very Low Interest,Strong Interest,Low Interest,Moderate Interest,Low Interest,Healthcare,Team,Extrovert,Psychology
S000890,Female,Oddar Meanchey,Public,IT Specialist,Science,B,E,C,B,A,C,D,,,,Strong Interest,Moderate Interest,Moderate Interest,Very Low Interest,Low Interest,Creative,Team,Ambivert,Philosophy
S000071,Male,Tbong Khmum,Private,Business Owner,Social-Science,B,C,D,,,,B,C,C,B,Very Strong Interest,Low Interest,Strong Interest,Very Strong Interest,Moderate Interest,PublicSector,Office,Ambivert,Computer Science
S001609,Male,Kampong Cham,Public,Lawyer,Science,B,A,D,D,D,E,E,,,,Moderate Interest,Low Interest,Very Strong Interest,Low Interest,Low Interest,Research,Team,Introvert,Economics
S001533,Male,Kratie,Public,Engineer,Science,C,B,B,C,C,D,B,,,,Strong Interest,Very Strong Interest,Low Interest,Strong Interest,Very Strong Interest,Education,Independent,Introvert,Environmental Health
S000248,Female,Kep,Public,Accountant,Science,B,C,B,B,D,D,D,,,,Very Strong Interest,Moderate Interest,Very Strong Interest,Moderate Interest,Moderate Interest,Corporate,Field,Extrovert,Marketing
S001451,Female,Phnom Penh,Private,Doctor,Science,F,B,A,C,C,B,A,,,,Strong Interest,Strong Interest,Moderate Interest,Very Strong Interest,Very Low Interest,PublicSector,Independent,Extrovert,Environmental Science
S000213,Female,Phnom Penh,Private,Police Officer,Social-Science,E,F,C,,,,C,A,E,D,Low Interest,Low Interest,Low Interest,Strong Interest,Strong Interest,Education,Team,Ambivert,Animal Science
S000910,Female,Oddar Meanchey,Public,Business Owner,Science,E,B,A,D,D,B,C,,,,Low Interest,Strong Interest,Strong Interest,Very Low Interest,Low Interest,Entrepreneur,Office,Ambivert,Finance and Banking
S001742,Female,Kampot,Private,IT Specialist,Science,C,B,A,A,E,B,D,,,,Moderate Interest,Moderate Interest,Very Low Interest,Moderate Interest,Strong Interest,PublicSector,Team,Extrovert,Information Technology
S001245,Male,Battambang,Public,Banker,Social-Science,C,E,C,,,,C,A,D,D,Strong Interest,Strong Interest,Strong Interest,Low Interest,Very Strong Interest,Entrepreneur,Team,Ambivert,Electrical Engineering
S001697,Male,Oddar Meanchey,Private,Accountant,Science,B,C,C,B,C,C,B,,,,Moderate Interest,Strong Interest,Low Interest,Strong Interest,Low Interest,PublicSector,Field,Introvert,Accounting
S001183,Male,Svay Rieng,Public,Teacher,Science,C,B,C,C,A,B,B,,,,Strong Interest,Low Interest,Very Strong Interest,Very Strong Interest,Moderate Interest,Corporate,Team,Extrovert,Computer Science
S000362,Female,Koh Kong,NGO,Business Owner,Science,D,B,C,D,F,A,B,,,,Very Strong Interest,Very Strong Interest,Very Low Interest,Strong Interest,Moderate Interest,Research,Office,Extrovert,Political Science
S001474,Female,Preah Vihear,Public,Teacher,Science,B,C,A,C,D,B,B,,,,Very Strong Interest,Strong Interest,Very Strong Interest,Strong Interest,Moderate Interest,Education,Field,Ambivert,Cybersecurity
S000679,Male,Ratanakiri,Public,Accountant,Science,C,D,B,D,C,C,B,,,,Moderate Interest,Very Strong Interest,Very Low Interest,Low Interest,Very Low Interest,Research,Office,Introvert,Computer Science
S001622,Female,Battambang,Private,Accountant,Science,C,A,A,C,B,C,C,,,,Very Low Interest,Very Low Interest,Strong Interest,Very Low Interest,Low Interest,Healthcare,Independent,Ambivert,Animal Science
S001090,Male,Takeo,Public,Banker,Social-Science,A,A,A,,,,C,A,D,E,Moderate Interest,Very Strong Interest,Moderate Interest,Low Interest,Moderate Interest,PublicSector,Team,Introvert,Business Management
S001988,Female,Kampong Cham,Public,Lawyer,Social-Science,D,C,C,,,,D,C,C,E,Very Strong Interest,Very Low Interest,Moderate Interest,Very Strong Interest,Low Interest,Healthcare,Office,Extrovert,Finance and Banking
S001848,Male,Svay Rieng,NGO,Teacher,Science,C,C,B,F,B,B,B,,,,Moderate Interest,Strong Interest,Very Strong Interest,Moderate Interest,Moderate Interest,Entrepreneur,Team,Extrovert,Accounting
S000988,Male,Pursat,Private,Lawyer,Science,B,C,B,B,B,C,D,,,,Moderate Interest,Moderate Interest,Very Strong Interest,Moderate Interest,Low Interest,Healthcare,Independent,Introvert,Human Resource Management
S001513,Male,Oddar Meanchey,Public,Banker,Social-Science,B,C,B,,,,C,C,A,C,Moderate Interest,Moderate Interest,Strong Interest,Very Low Interest,Very Low Interest,Research,Field,Ambivert,Dentistry
S000112,Female,Svay Rieng,Public,Police Officer,Science,A,B,F,D,E,A,C,,,,Moderate Interest,Low Interest,Very Strong Interest,Strong Interest,Strong Interest,Entrepreneur,Field,Ambivert,Marketing
S001488,Male,Banteay Meanchey,Public,Business Owner,Science,C,D,D,B,B,A,C,,,,Very Strong Interest,Strong Interest,Strong Interest,Moderate Interest,Moderate Interest,Entrepreneur,Independent,Introvert,Business Management
S001454,Female,Prey Veng,Public,Doctor,Science,F,C,A,A,B,B,A,,,,Moderate Interest,Moderate Interest,Very Low Interest,Moderate Interest,Very Strong Interest,Education,Team,Extrovert,Fisheries Science
S000384,Female,Kep,Public,Lawyer,Science,C,B,D,B,B,D,B,,,,Low Interest,Strong Interest,Very Strong Interest,Very Strong Interest,Moderate Interest,Entrepreneur,Team,Ambivert,Tourism and Hospitality Management
S001396,Female,Kampong Speu,Private,Banker,Science,D,C,D,E,C,C,E,,,,Strong Interest,Moderate Interest,Low Interest,Strong Interest,Very Strong Interest,Corporate,Independent,Introvert,Medicine
S001055,Female,Tbong Khmum,Public,Business Owner,Social-Science,A,B,B,,,,B,F,C,D,Very Low Interest,Strong Interest,Moderate Interest,Low Interest,Low Interest,Creative,Team,Introvert,Agronomy
S000756,Female,Kampong Speu,Public,Doctor,Science,D,C,C,D,B,C,C,,,,Strong Interest,Low Interest,Strong Interest,Moderate Interest,Strong Interest,PublicSector,Field,Introvert,Computer Science
S000325,Female,Kampong Speu,NGO,Business Owner,Social-Science,D,D,D,,,,C,D,C,C,Low Interest,Moderate Interest,Very Low Interest,Moderate Interest,Strong Interest,Education,Field,Extrovert,Information Technology
S001624,Female,Tbong Khmum,NGO,Banker,Social-Science,A,C,C,,,,E,B,D,B,Moderate Interest,Very Low Interest,Low Interest,Strong Interest,Very Low Interest,Research,Office,Introvert,Khmer Literature
S000788,Female,Kampong Cham,Public,Police Officer,Science,B,C,B,C,D,C,C,,,,Moderate Interest,Low Interest,Very Strong Interest,Moderate Interest,Low Interest,Healthcare,Team,Ambivert,Business Management
S000369,Male,Svay Rieng,Public,IT Specialist,Social-Science,B,C,E,,,,D,A,D,B,Moderate Interest,Moderate Interest,Very Low Interest,Low Interest,Very Strong Interest,Corporate,Office,Extrovert,Environmental Health
S001820,Female,Kampong Thom,Private,Government Officer,Social-Science,A,C,B,,,,C,B,B,A,Moderate Interest,Very Strong Interest,Moderate Interest,Low Interest,Moderate Interest,Research,Office,Introvert,History
S000070,Female,Mondulkiri,Private,Business Owner,Science,B,A,A,A,B,C,A,,,,Very Strong Interest,Moderate Interest,Very Strong Interest,Low Interest,Moderate Interest,Corporate,Independent,Ambivert,Political Science
S000858,Male,Preah Vihear,Private,Accountant,Science,D,A,C,B,D,F,C,,,,Strong Interest,Moderate Interest,Moderate Interest,Strong Interest,Moderate Interest,Corporate,Office,Introvert,Computer Science
S001484,Male,Kampot,Public,Engineer,Social-Science,D,E,B,,,,B,C,D,D,Low Interest,Strong Interest,Very Strong Interest,Very Strong Interest,Strong Interest,Creative,Office,Introvert,Electronics and Telecommunications
S001556,Female,Kampong Thom,Public,Teacher,Social-Science,C,D,C,,,,C,B,E,A,Moderate Interest,Very Strong Interest,Very Low Interest,Strong Interest,Moderate Interest,Corporate,Independent,Ambivert,Computer Science
S001692,Male,Preah Sihanouk,Public,Lawyer,Social-Science,C,C,B,,,,C,C,B,A,Strong Interest,Moderate Interest,Strong Interest,Strong Interest,Very Low Interest,Education,Field,Ambivert,Law
S001475,Male,Preah Sihanouk,Public,Doctor,Science,C,E,E,B,C,D,B,,,,Moderate Interest,Low Interest,Moderate Interest,Very Low Interest,Moderate Interest,Education,Independent,Introvert,Marketing
S001799,Male,Oddar Meanchey,Public,Government Officer,Science,E,B,D,C,A,D,B,,,,Very Low Interest,Moderate Interest,Very Strong Interest,Very Strong Interest,Very Strong Interest,PublicSector,Field,Ambivert,Computer Science
S000479,Male,Pursat,Public,Accountant,Social-Science,C,B,C,,,,C,B,B,D,Very Low Interest,Low Interest,Moderate Interest,Moderate Interest,Moderate Interest,PublicSector,Independent,Introvert,Political Science
S000282,Male,Mondulkiri,Private,IT Specialist,Social-Science,B,D,B,,,,A,B,C,B,Moderate Interest,Very Low Interest,Very Strong Interest,Moderate Interest,Low Interest,Corporate,Field,Ambivert,English Literature
S001648,Male,Preah Vihear,Private,Lawyer,Social-Science,D,B,B,,,,D,A,C,B,Moderate Interest,Moderate Interest,Moderate Interest,Very Strong Interest,Very Low Interest,Education,Field,Introvert,Philosophy
S001557,Male,Takeo,Public,Police Officer,Social-Science,D,C,D,,,,C,A,A,C,Moderate Interest,Moderate Interest,Moderate Interest,Moderate Interest,Very Strong Interest,Entrepreneur,Independent,Ambivert,Medicine
S001730,Male,Svay Rieng,Private,Accountant,Social-Science,C,C,E,,,,C,B,D,B,Low Interest,Strong Interest,Very Strong Interest,Moderate Interest,Strong Interest,PublicSector,Independent,Introvert,Early Childhood Education
S000211,Female,Koh Kong,Public,Police Officer,Social-Science,C,B,B,,,,C,B,A,C,Very Strong Interest,Very Low Interest,Very Strong Interest,Very Strong Interest,Strong Interest,Creative,Team,Extrovert,Accounting
S000298,Male,Takeo,Public,Police Officer,Social-Science,A,C,C,,,,E,C,B,C,Moderate Interest,Very Low Interest,Strong Interest,Moderate Interest,Low Interest,PublicSector,Field,Ambivert,Nursing
S001885,Male,Pursat,Public,Engineer,Science,E,D,A,B,C,D,B,,,,Very Strong Interest,Strong Interest,Strong Interest,Low Interest,Very Strong Interest,PublicSector,Independent,Ambivert,Data Science
S001834,Male,Banteay Meanchey,Public,Lawyer,Science,A,D,A,C,B,C,C,,,,Moderate Interest,Very Low Interest,Very Strong Interest,Strong Interest,Strong Interest,Creative,Independent,Extrovert,Accounting
S000652,Female,Takeo,Public,IT Specialist,Social-Science,A,C,D,,,,C,B,B,D,Moderate Interest,Moderate Interest,Very Strong Interest,Very Strong Interest,Very Strong Interest,Healthcare,Team,Extrovert,Human Resource Management
S001234,Male,Preah Sihanouk,Private,Engineer,Social-Science,C,C,E,,,,B,D,E,A,Very Strong Interest,Very Low Interest,Moderate Interest,Moderate Interest,Low Interest,Healthcare,Independent,Extrovert,Animal Science
S001503,Male,Mondulkiri,Public,Teacher,Social-Science,A,D,C,,,,C,B,E,A,Very Low Interest,Moderate Interest,Strong Interest,Moderate Interest,Low Interest,Creative,Field,Extrovert,Business Management
S001932,Female,Svay Rieng,Public,Lawyer,Social-Science,C,B,C,,,,A,D,A,D,Moderate Interest,Moderate Interest,Moderate Interest,Moderate Interest,Very Strong Interest,Entrepreneur,Independent,Extrovert,Dentistry
S000917,Male,Stung Treng,Public,Business Owner,Science,F,B,F,A,B,B,C,,,,Strong Interest,Low Interest,Very Low Interest,Moderate Interest,Low Interest,Entrepreneur,Field,Introvert,Medicine
S000994,Male,Takeo,Public,Lawyer,Science,C,D,B,D,C,B,C,,,,Strong Interest,Strong Interest,Strong Interest,Moderate Interest,Strong Interest,Creative,Office,Introvert,Accounting
S000430,Male,Takeo,Public,Accountant,Science,D,B,C,E,C,B,E,,,,Very Low Interest,Strong Interest,Strong Interest,Strong Interest,Very Strong Interest,Corporate,Field,Ambivert,Nursing
S001371,Male,Ratanakiri,Public,Police Officer,Science,B,A,C,B,A,C,C,,,,Strong Interest,Very Low Interest,Very Strong Interest,Very Strong Interest,Moderate Interest,Entrepreneur,Office,Ambivert,English Literature
S000240,Female,Kampot,Public,Engineer,Social-Science,C,B,C,,,,C,C,D,E,Very Low Interest,Moderate Interest,Moderate Interest,Moderate Interest,Very Strong Interest,Education,Team,Introvert,Law
S000880,Female,Kampong Cham,Public,Lawyer,Social-Science,C,D,D,,,,A,E,C,E,Strong Interest,Strong Interest,Moderate Interest,Low Interest,Moderate Interest,PublicSector,Field,Ambivert,Medicine
S000621,Female,Kandal,Public,Police Officer,Social-Science,A,D,A,,,,F,B,A,B,Strong Interest,Moderate Interest,Strong Interest,Moderate Interest,Low Interest,Education,Independent,Extrovert,Physical Education
S000257,Female,Mondulkiri,Public,Government Officer,Science,D,C,B,B,C,A,C,,,,Moderate Interest,Strong Interest,Strong Interest,Strong Interest,Very Low Interest,Education,Team,Introvert,Law
S000612,Female,Ratanakiri,Public,Teacher,Social-Science,B,B,A,,,,B,B,C,B,Moderate Interest,Strong Interest,Moderate Interest,Very Strong Interest,Low Interest,Creative,Independent,Ambivert,Business Management
S000545,Male,Kep,Private,Accountant,Social-Science,B,B,B,,,,C,C,A,B,Strong Interest,Strong Interest,Low Interest,Very Low Interest,Moderate Interest,Healthcare,Field,Ambivert,Finance and Banking
S000772,Female,Phnom Penh,Public,Government Officer,Science,A,F,A,A,C,A,B,,,,Strong Interest,Very Strong Interest,Very Low Interest,Very Strong Interest,Very Strong Interest,Entrepreneur,Independent,Introvert,Law
S001420,Male,Siem Reap,Public,Lawyer,Social-Science,C,D,B,,,,B,C,C,B,Very Strong Interest,Strong Interest,Very Strong Interest,Moderate Interest,Moderate Interest,Corporate,Field,Introvert,Marketing
S001042,Female,Kampong Thom,NGO,Business Owner,Science,D,D,B,D,A,A,C,,,,Strong Interest,Moderate Interest,Strong Interest,Very Strong Interest,Very Low Interest,Entrepreneur,Field,Ambivert,Law
S001790,Male,Takeo,NGO,Government Officer,Science,D,B,A,C,E,A,D,,,,Low Interest,Low Interest,Strong Interest,Low Interest,Low Interest,Healthcare,Team,Ambivert,Accounting
S000760,Female,Kratie,Public,Accountant,Science,A,A,B,C,B,B,B,,,,Low Interest,Moderate Interest,Very Low Interest,Strong Interest,Moderate Interest,PublicSector,Independent,Extrovert,English Literature
S000383,Male,Kampong Thom,Private,Police Officer,Social-Science,E,C,D,,,,C,D,D,B,Very Low Interest,Strong Interest,Moderate Interest,Moderate Interest,Strong Interest,Education,Independent,Ambivert,Computer Science
S001104,Female,Mondulkiri,Private,Accountant,Science,B,B,C,A,B,E,D,,,,Moderate Interest,Moderate Interest,Low Interest,Low Interest,Moderate Interest,Healthcare,Office,Extrovert,Sociology
S000974,Female,Oddar Meanchey,NGO,Teacher,Science,C,C,C,B,D,D,D,,,,Low Interest,Very Low Interest,Very Low Interest,Moderate Interest,Very Low Interest,PublicSector,Team,Extrovert,Medicine
S000353,Female,Kratie,Public,Police Officer,Science,C,C,C,B,F,E,C,,,,Moderate Interest,Very Low Interest,Very Strong Interest,Low Interest,Very Strong Interest,Creative,Office,Extrovert,Civil Engineering
S001606,Male,Stung Treng,Public,Engineer,Science,A,D,A,C,D,B,C,,,,Strong Interest,Very Strong Interest,Very Strong Interest,Strong Interest,Strong Interest,Education,Team,Extrovert,English Literature
S001826,Male,Takeo,Public,Doctor,Science,C,C,A,C,B,B,C,,,,Very Strong Interest,Strong Interest,Strong Interest,Very Strong Interest,Strong Interest,Healthcare,Independent,Ambivert,History
S001037,Female,Koh Kong,Private,Accountant,Science,B,C,A,C,C,D,B,,,,Very Low Interest,Very Low Interest,Strong Interest,Strong Interest,Very Strong Interest,Research,Independent,Extrovert,Law
S001108,Male,Pailin,Public,Lawyer,Science,C,C,C,A,D,B,B,,,,Moderate Interest,Strong Interest,Very Low Interest,Moderate Interest,Very Low Interest,Research,Independent,Extrovert,Law
S000495,Female,Stung Treng,Public,Doctor,Science,B,D,D,C,C,D,D,,,,Strong Interest,Moderate Interest,Very Strong Interest,Very Low Interest,Low Interest,PublicSector,Team,Extrovert,Software Engineering
S000394,Female,Koh Kong,Public,IT Specialist,Social-Science,B,C,A,,,,D,A,A,C,Low Interest,Moderate Interest,Very Low Interest,Very Strong Interest,Moderate Interest,Corporate,Independent,Extrovert,Environmental Science
S001547,Male,Banteay Meanchey,Public,Business Owner,Science,A,D,B,A,B,B,C,,,,Moderate Interest,Low Interest,Very Strong Interest,Moderate Interest,Strong Interest,Healthcare,Office,Extrovert,Finance and Banking
S000465,Female,Kampong Thom,Public,IT Specialist,Social-Science,A,C,D,,,,A,A,D,D,Low Interest,Low Interest,Very Strong Interest,Strong Interest,Low Interest,Entrepreneur,Independent,Ambivert,Logistics and Supply Chain Management
S000887,Male,Kampong Thom,Public,Government Officer,Social-Science,E,A,D,,,,F,C,C,C,Very Low Interest,Low Interest,Very Strong Interest,Moderate Interest,Very Strong Interest,Creative,Team,Extrovert,Agronomy
S001194,Female,Preah Sihanouk,Public,Teacher,Science,B,D,D,D,B,D,B,,,,Low Interest,Strong Interest,Strong Interest,Moderate Interest,Moderate Interest,Entrepreneur,Field,Introvert,Marketing
S000367,Male,Stung Treng,Public,Accountant,Science,A,C,A,C,D,A,A,,,,Very Strong Interest,Very Low Interest,Low Interest,Low Interest,Very Low Interest,PublicSector,Independent,Extrovert,Business Management
S001894,Female,Ratanakiri,Public,Government Officer,Social-Science,C,D,C,,,,B,A,B,C,Moderate Interest,Very Strong Interest,Very Low Interest,Moderate Interest,Very Strong Interest,Creative,Independent,Extrovert,Law
S001874,Male,Kampong Thom,Public,Banker,Social-Science,B,B,F,,,,C,B,D,D,Moderate Interest,Strong Interest,Strong Interest,Very Strong Interest,Low Interest,Research,Field,Introvert,Political Science
S000745,Male,Pailin,Public,IT Specialist,Social-Science,D,C,B,,,,C,B,C,F,Moderate Interest,Very Low Interest,Very Strong Interest,Moderate Interest,Moderate Interest,Creative,Team,Extrovert,Cybersecurity
S000530,Female,Oddar Meanchey,Public,Lawyer,Social-Science,B,C,B,,,,C,C,C,A,Very Low Interest,Moderate Interest,Strong Interest,Very Strong Interest,Moderate Interest,Education,Field,Introvert,Real Estate Management
